StopName,ArrivalTime,DepartureTime
Green Avenue,13:02:15,13:02:35
Park View City,13:04:05,13:04:25
Shahzad Town,13:06:55,13:07:15
N.I.H Allergy Center,13:08:50,13:09:10
N.A.R.C Colony,13:11:20,13:11:40
Rawal Dam Colony,13:12:40,13:13:00
School Board Stop,13:13:55,13:14:15
Rawal Town,13:15:45,13:16:05
Garden Avenue,13:17:45,13:18:05
Margalla Town,13:20:35,13:20:55
ITP Driving License Centre,13:23:25,13:23:45
Faizabad,13:26:40,13:27:00
Kach Naar Park I-8,13:29:30,13:29:50
H-8,13:32:00,13:32:20
TNT,13:34:35,13:34:55
Children Hospital,13:35:00,13:35:20
PIMS Hospital,13:36:15,13:36:15
Capt. Naeem Tufail Shaheed Chow,13:10:00,13:10:00
Tamma Stop,13:11:30,13:11:50
COMSATS University,13:13:40,13:14:00
Hostel City,13:15:40,13:16:00
Gulshan Al Huda Community,13:18:00,13:18:20
Chatta Bakhtawar,13:19:55,13:20:15
Green Avenue,13:22:15,13:22:35
Park View City,13:24:05,13:24:25
Shahzad Town,13:26:55,13:27:15
N.I.H Allergy Center,13:28:50,13:29:10
N.A.R.C Colony,13:31:20,13:31:40
Rawal Dam Colony,13:32:40,13:33:00
School Board Stop,13:33:55,13:34:15
Rawal Town,13:35:45,13:36:05
Garden Avenue,13:37:45,13:38:05
Margalla Town,13:40:35,13:40:55
ITP Driving License Centre,13:43:25,13:43:45
Faizabad,13:46:40,13:47:00
Kach Naar Park I-8,13:49:30,13:49:50
H-8,13:52:00,13:52:20
TNT,13:54:35,13:54:55
Children Hospital,13:55:00,13:55:20
PIMS Hospital,13:56:15,13:56:15
Capt. Naeem Tufail Shaheed Chow,13:30:00,13:30:00
Tamma Stop,13:31:30,13:31:50
COMSATS University,13:33:40,13:34:00
Hostel City,13:35:40,13:36:00
Gulshan Al Huda Community,13:38:00,13:38:20
Chatta Bakhtawar,13:39:55,13:40:15
Green Avenue,13:42:15,13:42:35
Park View City,13:44:05,13:44:25
Shahzad Town,13:46:55,13:47:15
N.I.H Allergy Center,13:48:50,13:49:10
N.A.R.C Colony,13:51:20,13:51:40
Rawal Dam Colony,13:52:40,13:53:00
School Board Stop,13:53:55,13:54:15
Rawal Town,13:55:45,13:56:05
Garden Avenue,13:57:45,13:58:05
Margalla Town,14:00:35,14:00:55
ITP Driving License Centre,14:03:25,14:03:45
Faizabad,14:06:40,14:07:00
Kach Naar Park I-8,14:09:30,14:09:50
H-8,14:12:00,14:12:20
TNT,14:14:35,14:14:55
Children Hospital,14:15:00,14:15:20
PIMS Hospital,14:16:15,14:16:15
Capt. Naeem Tufail Shaheed Chow,13:50:00,13:50:00
Tamma Stop,13:51:30,13:51:50
COMSATS University,13:53:40,13:54:00
Hostel City,13:55:40,13:56:00
Gulshan Al Huda Community,13:58:00,13:58:20
Chatta Bakhtawar,13:59:55,14:00:15
Green Avenue,14:02:15,14:02:35
Park View City,14:04:05,14:04:25
Shahzad Town,14:06:55,14:07:15
N.I.H Allergy Center,14:08:50,14:09:10
N.A.R.C Colony,14:11:20,14:11:40
Rawal Dam Colony,14:12:40,14:13:00
School Board Stop,14:13:55,14:14:15
Rawal Town,14:15:45,14:16:05
Garden Avenue,14:17:45,14:18:05
Margalla Town,14:20:35,14:20:55
ITP Driving License Centre,14:23:25,14:23:45
Faizabad,14:26:40,14:27:00
Kach Naar Park I-8,14:29:30,14:29:50
H-8,14:32:00,14:32:20
TNT,14:34:35,14:34:55
Children Hospital,14:35:00,14:35:20
PIMS Hospital,14:36:15,14:36:15
Capt. Naeem Tufail Shaheed Chow,14:10:00,14:10:00
Tamma Stop,14:11:30,14:11:50
COMSATS University,14:13:40,14:14:00
Hostel City,14:15:40,14:16:00
Gulshan Al Huda Community,14:18:00,14:18:20
Chatta Bakhtawar,14:19:55,14:20:15
Green Avenue,14:22:15,14:22:35
Park View City,14:24:05,14:24:25
Shahzad Town,14:26:55,14:27:15
N.I.H Allergy Center,14:28:50,14:29:10
N.A.R.C Colony,14:31:20,14:31:40
Rawal Dam Colony,14:32:40,14:33:00
School Board Stop,14:33:55,14:34:15
Rawal Town,14:35:45,14:36:05
Garden Avenue,14:37:45,14:38:05
Margalla Town,14:40:35,14:40:55
ITP Driving License Centre,14:43:25,14:43:45
