StopName,ArrivalTime,DepartureTime
D-12 Markaz,07:36:10,07:36:30
IESCO D-12,07:37:50,07:38:10
D-12 Service Road,07:40:20,07:40:40
E-11/2 / FECHS / Islamabad International Hospite,07:43:10,07:43:30
Multy Stop/Islamabad Gardens,07:46:20,07:46:40
NPF Housing Society,07:48:10,07:48:30
Khayaban e Iqbal,07:51:00,07:51:20
Sumbal Road,07:53:35,07:53:55
G10/G11,07:56:25,07:56:45
Sunday Bazar,07:59:25,07:59:45
G-10 Metro Station,08:00:55,08:01:15
Police Foundation,08:03:35,08:03:55
Nust Metro Station,08:07:15,08:07:15
D-12,07:40:00,07:40:00
D-12 Markaz,07:41:10,07:41:30
IESCO D-12,07:42:50,07:43:10
D-12 Service Road,07:45:20,07:45:40
E-11/2 / FECHS / Islamabad International Hospite,07:48:10,07:48:30
Multy Stop/Islamabad Gardens,07:51:20,07:51:40
NPF Housing Society,07:53:10,07:53:30
Khayaban e Iqbal,07:56:00,07:56:20
Sumbal Road,07:58:35,07:58:55
G10/G11,08:01:25,08:01:45
Sunday Bazar,08:04:25,08:04:45
G-10 Metro Station,08:05:55,08:06:15
Police Foundation,08:08:35,08:08:55
Nust Metro Station,08:12:15,08:12:15
D-12,07:45:00,07:45:00
D-12 Markaz,07:46:10,07:46:30
IESCO D-12,07:47:50,07:48:10
D-12 Service Road,07:50:20,07:50:40
E-11/2 / FECHS / Islamabad International Hospite,07:53:10,07:53:30
Multy Stop/Islamabad Gardens,07:56:20,07:56:40
NPF Housing Society,07:58:10,07:58:30
Khayaban e Iqbal,08:01:00,08:01:20
Sumbal Road,08:03:35,08:03:55
G10/G11,08:06:25,08:06:45
Sunday Bazar,08:09:25,08:09:45
G-10 Metro Station,08:10:55,08:11:15
Police Foundation,08:13:35,08:13:55
Nust Metro Station,08:17:15,08:17:15
D-12,07:50:00,07:50:00
D-12 Markaz,07:51:10,07:51:30
IESCO D-12,07:52:50,07:53:10
D-12 Service Road,07:55:20,07:55:40
E-11/2 / FECHS / Islamabad International Hospite,07:58:10,07:58:30
Multy Stop/Islamabad Gardens,08:01:20,08:01:40
NPF Housing Society,08:03:10,08:03:30
Khayaban e Iqbal,08:06:00,08:06:20
Sumbal Road,08:08:35,08:08:55
G10/G11,08:11:25,08:11:45
Sunday Bazar,08:14:25,08:14:45
G-10 Metro Station,08:15:55,08:16:15
Police Foundation,08:18:35,08:18:55
Nust Metro Station,08:22:15,08:22:15
D-12,07:55:00,07:55:00
D-12 Markaz,07:56:10,07:56:30
IESCO D-12,07:57:50,07:58:10
D-12 Service Road,08:00:20,08:00:40
E-11/2 / FECHS / Islamabad International Hospite,08:03:10,08:03:30
Multy Stop/Islamabad Gardens,08:06:20,08:06:40
NPF Housing Society,08:08:10,08:08:30
Khayaban e Iqbal,08:11:00,08:11:20
Sumbal Road,08:13:35,08:13:55
G10/G11,08:16:25,08:16:45
Sunday Bazar,08:19:25,08:19:45
G-10 Metro Station,08:20:55,08:21:15
Police Foundation,08:23:35,08:23:55
Nust Metro Station,08:27:15,08:27:15
D-12,08:00:00,08:00:00
D-12 Markaz,08:01:10,08:01:30
IESCO D-12,08:02:50,08:03:10
D-12 Service Road,08:05:20,08:05:40
E-11/2 / FECHS / Islamabad International Hospite,08:08:10,08:08:30
Multy Stop/Islamabad Gardens,08:11:20,08:11:40
NPF Housing Society,08:13:10,08:13:30
